address,nearest_mrt,nearest_distance_to_mrt
876 YISHUN ST 81,khatib,0.408
798 YISHUN RING RD,khatib,0.169
625 YISHUN ST 61,khatib,0.368
406 YISHUN AVE 6,yishun,1.633
324 YISHUN CTRL,yishun,0.782
356 YISHUN RING RD,yishun,1.249
614 YISHUN ST 61,khatib,0.435
114 ANG MO KIO AVE 4,mayflower,0.13
604 ANG MO KIO AVE 5,lentor,0.628
611 ANG MO KIO AVE 5,mayflower,0.763
720 ANG MO KIO AVE 6,ang mo kio,0.353
705 ANG MO KIO AVE 8,ang mo kio,0.234
623 ANG MO KIO AVE 9,yio chu kang,0.465
204 ANG MO KIO AVE 3,ang mo kio,0.689
231 ANG MO KIO AVE 3,mayflower,0.34
327 ANG MO KIO AVE 3,ang mo kio,0.429
131 ANG MO KIO AVE 3,mayflower,0.584
428 ANG MO KIO AVE 3,ang mo kio,0.551
113 ANG MO KIO AVE 4,mayflower,0.076
636 ANG MO KIO AVE 6,yio chu kang,0.194
642 ANG MO KIO AVE 5,yio chu kang,0.653
203 BEDOK NTH ST 1,bedok,0.215
540 BEDOK NTH ST 3,bedok north,0.609
624 BEDOK RESERVOIR RD,bedok north,0.182
742 BEDOK RESERVOIR RD,bedok north,0.589
211 NEW UPP CHANGI RD,bedok,0.278
150 BEDOK RESERVOIR RD,kaki bukit,0.487
53 NEW UPP CHANGI RD,tanah merah,0.539
660 JLN TENAGA,kaki bukit,0.201
706 BEDOK NTH RD,bedok north,0.2
705 BEDOK NTH RD,bedok north,0.239
626 BEDOK RESERVOIR RD,bedok north,0.259
110 BEDOK RESERVOIR RD,kaki bukit,0.575
119 BEDOK RESERVOIR RD,kaki bukit,0.448
140 BEDOK RESERVOIR RD,bedok north,0.511
124 BEDOK RESERVOIR RD,kaki bukit,0.322
156 BEDOK STH AVE 3,tanah merah,0.994
171 BEDOK STH RD,tanah merah,0.707
516 BEDOK NTH AVE 2,bedok reservoir,0.663
711 BEDOK RESERVOIR RD,bedok north,0.65
602 BEDOK RESERVOIR RD,kaki bukit,0.715
25 CHAI CHEE RD,bedok,0.648
652 JLN TENAGA,kaki bukit,0.265
112 LENGKONG TIGA,kembangan,0.322
31 BEDOK STH AVE 2,bedok,0.916
55 NEW UPP CHANGI RD,tanah merah,0.526
167 BEDOK STH AVE 3,tanah merah,0.853
109 BISHAN ST 12,bishan,0.455
105 BISHAN ST 12,bishan,0.557
250 BISHAN ST 22,ang mo kio,1.116
262 BISHAN ST 22,bishan,1.118
216 BISHAN ST 23,bishan,0.627
230 BISHAN ST 23,bishan,0.842
286 BISHAN ST 24,bishan,0.968
150 BISHAN ST 11,bishan,1.06
112 BISHAN ST 12,bishan,0.459
103 BISHAN ST 12,braddell,0.586
179 BISHAN ST 13,bishan,0.48
194 BISHAN ST 13,bishan,0.461
442 SIN MING AVE,bright hill,0.454
169 BISHAN ST 13,bishan,0.797
162 BISHAN ST 13,bishan,0.94
226 BT BATOK CTRL,bukit batok,0.402
175 BT BATOK WEST AVE 8,bukit batok,0.967
278 BT BATOK EAST AVE 3,bukit batok,0.922
275 BT BATOK EAST AVE 4,bukit batok,0.978
375 BT BATOK ST 31,bukit gombak,0.187
107 BT BATOK WEST AVE 6,bukit batok,0.356
185 BT BATOK WEST AVE 6,bukit batok,0.56
257 BT BATOK EAST AVE 4,bukit batok,0.966
243 BT BATOK EAST AVE 5,bukit batok,0.766
103 BT BATOK CTRL,bukit batok,0.214
120 BT BATOK CTRL,bukit batok,0.305
121 BT BATOK CTRL,bukit batok,0.336
218 BT BATOK ST 21,bukit batok,0.55
406 BT BATOK WEST AVE 7,bukit gombak,0.987
142 BT BATOK ST 11,bukit batok,0.753
141 BT BATOK ST 11,bukit batok,0.724
524 BT BATOK ST 52,bukit gombak,0.182
38 BEO CRES,tiong bahru,0.273
136 JLN BT MERAH,tiong bahru,0.869
137 JLN BT MERAH,tiong bahru,0.886
1 TELOK BLANGAH CRES,redhill,1.139
22 TELOK BLANGAH CRES,harbourfront,1.256
47 TELOK BLANGAH DR,telok blangah,0.153
105 BT PURMEI RD,harbourfront,0.864
10 JLN RUMAH TINGGI,queenstown,0.751
19 LIM LIAK ST,havelock,0.352
23 LIM LIAK ST,havelock,0.397
25 LIM LIAK ST,havelock,0.429
14 REDHILL CL,redhill,0.448
10 REDHILL CL,redhill,0.468
3 REDHILL CL,redhill,0.565
26 TIONG BAHRU RD,tiong bahru,0.38
88 REDHILL CL,redhill,0.47
58 TELOK BLANGAH HTS,telok blangah,0.62
68 TELOK BLANGAH HTS,telok blangah,0.497
103 HENDERSON CRES,redhill,0.515
124A BT MERAH VIEW,tiong bahru,0.536
82 REDHILL LANE,redhill,0.388
83 REDHILL LANE,redhill,0.429
44 LENGKOK BAHRU,redhill,0.639
53 TELOK BLANGAH DR,telok blangah,0.44
102 GANGSA RD,petir,0.224
238 BT PANJANG RING RD,bangkit,0.222
421 FAJAR RD,fajar,0.096
402 FAJAR RD,petir,0.324
201 PETIR RD,pending,0.649
202 PETIR RD,pending,0.593
213 PETIR RD,pending,0.506
409 SAUJANA RD,fajar,0.435
107 GANGSA RD,petir,0.025
16 TOH YI DR,beauty world,0.408
14 TOH YI DR,beauty world,0.43
11 TOH YI DR,beauty world,0.504
6 TOH YI DR,beauty world,0.391
533 UPP CROSS ST,chinatown,0.218
641 ROWELL RD,jalan besar,0.333
2 ROCHOR RD,rochor,0.205
290 CHOA CHU KANG AVE 3,south view,0.565
408 CHOA CHU KANG AVE 3,south view,0.538
425 CHOA CHU KANG AVE 4,south view,0.654
441 CHOA CHU KANG AVE 4,choa chu kang,0.575
232 CHOA CHU KANG CTRL,south view,0.203
231 CHOA CHU KANG CTRL,south view,0.094
223 CHOA CHU KANG CTRL,south view,0.157
224 CHOA CHU KANG CTRL,south view,0.088
766 CHOA CHU KANG NTH 5,yew tee,0.507
790 CHOA CHU KANG NTH 6,yew tee,0.31
564 CHOA CHU KANG ST 52,yew tee,0.323
767 CHOA CHU KANG ST 54,yew tee,0.469
8 TECK WHYE AVE,phoenix,0.434
248 CHOA CHU KANG AVE 2,south view,0.16
424 CHOA CHU KANG AVE 4,south view,0.569
414 CHOA CHU KANG AVE 4,south view,0.397
503 CHOA CHU KANG ST 51,choa chu kang,0.399
706 CHOA CHU KANG ST 53,choa chu kang,0.622
13 TECK WHYE LANE,phoenix,0.242
122 TECK WHYE LANE,keat hong,0.065
141 TECK WHYE LANE,teck whye,0.433
553 CHOA CHU KANG NTH 6,yew tee,0.47
524 CHOA CHU KANG ST 51,choa chu kang,0.778
433 CLEMENTI AVE 3,clementi,0.393
378 CLEMENTI AVE 5,clementi,0.355
705 CLEMENTI WEST ST 2,clementi,1.166
506 WEST COAST DR,clementi,0.561
515 WEST COAST RD,clementi,0.96
410 C'WEALTH AVE WEST,clementi,0.646
358 CLEMENTI AVE 2,clementi,0.465
709 CLEMENTI WEST ST 2,clementi,1.144
708 CLEMENTI WEST ST 2,clementi,1.098
53 SIMS PL,aljunied,0.35
416 EUNOS RD 5,paya lebar,0.489
128 GEYLANG EAST AVE 1,aljunied,0.578
4 JOO CHIAT RD,eunos,0.681
34 CASSIA CRES,mountbatten,0.439
312 UBI AVE 1,ubi,0.508
65 CIRCUIT RD,macpherson,0.384
347 UBI AVE 1,ubi,0.483
340 UBI AVE 1,ubi,0.47
32 CASSIA CRES,mountbatten,0.389
9 EUNOS CRES,eunos,0.23
11 HAIG RD,paya lebar,0.539
21 HAIG RD,paya lebar,0.601
320 UBI AVE 1,ubi,0.577
23 HAIG RD,paya lebar,0.575
62 DAKOTA CRES,dakota,0.1
846 SIMS AVE,eunos,0.295
53 PIPIT RD,macpherson,0.472
210 HOUGANG ST 21,kovan,0.215
453 HOUGANG AVE 10,buangkok,0.577
463 HOUGANG AVE 10,hougang,0.311
239 HOUGANG ST 22,kovan,0.762
253 HOUGANG AVE 3,kovan,0.794
340 HOUGANG AVE 7,hougang,0.621
809 HOUGANG CTRL,hougang,0.144
546 HOUGANG ST 51,buangkok,0.464
231 JURONG EAST ST 21,chinese garden,0.627
53 TEBAN GDNS RD,jurong east,1.41
404 PANDAN GDNS,jurong east,1.675
51 TEBAN GDNS RD,jurong east,1.495
507 JURONG WEST ST 52,lakeside,0.6
508 JURONG WEST ST 52,lakeside,0.555
904 JURONG WEST ST 91,pioneer,1.299
495 JURONG WEST ST 41,lakeside,0.713
541 JURONG WEST AVE 1,lakeside,0.935
538 JURONG WEST AVE 1,lakeside,0.882
720 JURONG WEST AVE 5,pioneer,0.752
446 JURONG WEST ST 42,lakeside,0.898
402 JURONG WEST ST 42,lakeside,1.028
711 JURONG WEST ST 71,pioneer,0.635
715 JURONG WEST ST 71,pioneer,0.692
717 JURONG WEST ST 71,pioneer,0.606
946 JURONG WEST ST 91,pioneer,1.06
907 JURONG WEST ST 91,pioneer,1.326
950 JURONG WEST ST 91,pioneer,0.963
978 JURONG WEST ST 93,pioneer,0.487
152 YUNG HO RD,lakeside,1.899
486 JURONG WEST AVE 1,lakeside,0.778
465 JURONG WEST ST 41,lakeside,0.699
727 JURONG WEST AVE 5,pioneer,0.912
352 KANG CHING RD,lakeside,0.551
436 JURONG WEST AVE 1,lakeside,0.896
830 JURONG WEST ST 81,pioneer,0.963
331 TAH CHING RD,lakeside,0.741
726 JURONG WEST AVE 5,pioneer,0.929
333 KANG CHING RD,lakeside,0.619
3 BEACH RD,lavender,0.446
97 WHAMPOA DR,boon keng,0.767
105 TOWNER RD,boon keng,0.166
8 ST. GEORGE'S LANE,boon keng,0.508
684 RACE COURSE RD,farrer park,0.443
57 JLN MA'MOR,toa payoh,1.132
682 RACE COURSE RD,farrer park,0.357
12 KG ARANG RD,mountbatten,0.624
102 JLN DUSUN,toa payoh,0.644
106 TOWNER RD,boon keng,0.198
75 MARINE DR,eunos,1.884
480 PASIR RIS DR 4,pasir ris,1.137
427 PASIR RIS DR 6,pasir ris,0.808
475 PASIR RIS DR 6,pasir ris,0.906
124 PASIR RIS ST 11,pasir ris,0.978
125 PASIR RIS ST 11,pasir ris,0.946
513 PASIR RIS ST 52,pasir ris,0.678
709 PASIR RIS DR 10,pasir ris,1.535
739 PASIR RIS DR 10,pasir ris,1.516
486 PASIR RIS DR 4,pasir ris,1.239
196 PASIR RIS ST 12,tampines east,1.275
197 PASIR RIS ST 12,tampines east,1.323
227 PASIR RIS ST 21,pasir ris,1.396
566 PASIR RIS ST 51,pasir ris,0.439
552 PASIR RIS ST 51,pasir ris,0.72
184 PASIR RIS ST 11,tampines east,1.185
535 PASIR RIS DR 1,pasir ris,0.297
133 PASIR RIS ST 11,tampines east,1.074
160 PASIR RIS ST 13,tampines east,1.241
237 PASIR RIS ST 21,pasir ris,1.514
248 PASIR RIS ST 21,pasir ris,1.551
206 PASIR RIS ST 21,tampines east,1.436
208 PASIR RIS ST 21,tampines east,1.381
506 PASIR RIS ST 52,pasir ris,0.66
501 PASIR RIS ST 52,pasir ris,0.458
455 PASIR RIS DR 6,pasir ris,1.018
108 PASIR RIS ST 12,pasir ris,1.059
21 DOVER CRES,buona vista,0.625
1 DOVER RD,one-north,0.558
3 DOVER RD,one-north,0.727
40 HOLLAND DR,buona vista,0.361
157 MEI LING ST,queenstown,0.306
68 C'WEALTH DR,commonwealth,0.458
73 C'WEALTH DR,commonwealth,0.33
50 STIRLING RD,queenstown,0.384
10 HOLLAND AVE,buona vista,0.459
8 GHIM MOH RD,buona vista,0.472
20 HOLLAND DR,buona vista,0.426
104 SERANGOON NTH AVE 1,kovan,1.938
261 SERANGOON CTRL DR,serangoon,0.497
332 SERANGOON AVE 3,serangoon,0.404
416 SERANGOON CTRL,serangoon,0.149
514 SERANGOON NTH AVE 4,kovan,1.681
313 SERANGOON AVE 2,lorong chuan,0.218
229 SERANGOON AVE 4,serangoon,0.788
415 SERANGOON CTRL,serangoon,0.103
321 SERANGOON AVE 2,lorong chuan,0.405
506 SERANGOON NTH AVE 4,kovan,1.707
318 SERANGOON AVE 2,lorong chuan,0.362
807 TAMPINES AVE 4,tampines west,0.263
817 TAMPINES ST 81,tampines west,0.305
158 SIMEI RD,upper changi,0.348
225 SIMEI ST 4,simei,0.441
235 SIMEI ST 4,simei,0.235
224 SIMEI ST 4,upper changi,0.453
245 SIMEI ST 5,simei,0.163
246 SIMEI ST 5,simei,0.225
390 TAMPINES AVE 7,tampines east,0.331
501 TAMPINES CTRL 1,tampines,0.276
450D TAMPINES ST 42,tampines east,0.222
842C TAMPINES ST 82,tampines west,0.623
863A TAMPINES ST 83,tampines,0.973
864A TAMPINES ST 83,tampines,1.057
934 TAMPINES ST 91,tampines west,0.188
247 TAMPINES ST 21,tampines,0.227
122 SIMEI ST 1,simei,0.282
423 TAMPINES ST 41,tampines,0.5
409 TAMPINES ST 41,tampines,0.651
439 TAMPINES ST 43,tampines east,0.607
102 SIMEI ST 1,simei,0.305
381 TAMPINES ST 32,tampines east,0.539
453 TAMPINES ST 42,tampines east,0.123
443 TAMPINES ST 43,tampines east,0.423
491C TAMPINES ST 45,tampines east,0.658
127 TAMPINES ST 11,simei,0.392
142 TAMPINES ST 12,tampines,0.513
386 TAMPINES ST 32,tampines east,0.524
147 TAMPINES AVE 5,tampines,0.56
328 TAMPINES ST 32,tampines east,0.527
336 TAMPINES ST 32,tampines east,0.754
895A TAMPINES ST 81,tampines west,0.707
856E TAMPINES ST 82,tampines,0.718
105 SIMEI ST 1,simei,0.387
938 TAMPINES AVE 5,tampines west,0.452
430 TAMPINES ST 41,tampines east,0.623
454 TAMPINES ST 42,tampines east,0.13
117 LOR 1 TOA PAYOH,braddell,0.162
159 LOR 1 TOA PAYOH,toa payoh,0.298
85C LOR 4 TOA PAYOH,toa payoh,0.407
129 POTONG PASIR AVE 1,potong pasir,0.542
319 WOODLANDS ST 31,marsiling,0.386
146 WOODLANDS ST 13,marsiling,0.4
369 WOODLANDS AVE 1,woodlands ,0.297
367 WOODLANDS AVE 5,woodlands ,0.326
894A WOODLANDS DR 50,woodlands ,0.27
894D WOODLANDS DR 50,woodlands ,0.193
824 WOODLANDS ST 81,woodlands ,0.363
831 WOODLANDS ST 83,woodlands ,0.536
891A WOODLANDS DR 50,woodlands ,0.405
175 WOODLANDS ST 13,marsiling,0.427
35 MARSILING DR,marsiling,1.41
117 MARSILING RISE,woodlands,0.678
394 YISHUN AVE 6,yishun,1.464
617 YISHUN RING RD,khatib,0.337
239 YISHUN RING RD,yishun,0.696
133 YISHUN ST 11,yishun,0.583
152 YISHUN ST 11,yishun,0.18
201 YISHUN ST 21,yishun,0.372
206 YISHUN ST 21,yishun,0.281
747 YISHUN ST 72,yishun,0.216
731 YISHUN ST 72,yishun,0.449
789 YISHUN AVE 2,khatib,0.375
656 YISHUN AVE 4,khatib,0.869
271 YISHUN ST 22,yishun,1.103
729 YISHUN ST 71,yishun,0.55
419 YISHUN AVE 11,yishun,1.505
357 YISHUN RING RD,yishun,1.283
640A YISHUN ST 61,khatib,0.787
433 YISHUN AVE 6,khatib,1.639
247 YISHUN AVE 9,yishun,0.999
646 YISHUN ST 61,khatib,0.727
821 YISHUN ST 81,khatib,0.47
240 YISHUN RING RD,yishun,0.605
871 YISHUN ST 81,khatib,0.684
791 YISHUN AVE 2,khatib,0.355
611 YISHUN ST 61,khatib,0.472
826 YISHUN ST 81,khatib,0.362
392 YISHUN AVE 6,yishun,1.58
361 YISHUN RING RD,yishun,1.218
277 YISHUN ST 22,yishun,0.968
643 YISHUN ST 61,khatib,0.662
602 ANG MO KIO AVE 5,lentor,0.535
334 ANG MO KIO AVE 1,ang mo kio,0.709
551 ANG MO KIO AVE 10,ang mo kio,1.106
111 BEDOK RESERVOIR RD,kaki bukit,0.602
127 BEDOK RESERVOIR RD,kaki bukit,0.383
138 BEDOK RESERVOIR RD,kaki bukit,0.528
1 EAST COAST RD,kembangan,1.53
80 BEDOK NTH RD,tanah merah,0.654
130 BEDOK NTH ST 2,bedok,0.839
64 NEW UPP CHANGI RD,tanah merah,0.793
407 BEDOK NTH AVE 3,bedok,0.646
164 BEDOK STH RD,tanah merah,0.787
804 CHAI CHEE RD,bedok,0.886
670 JLN DAMAI,kaki bukit,0.273
653 JLN TENAGA,kaki bukit,0.256
656 JLN TENAGA,kaki bukit,0.173
111 BEDOK NTH RD,bedok reservoir,0.676
644 BEDOK RESERVOIR RD,kaki bukit,0.57
661 JLN DAMAI,kaki bukit,0.077
120 BISHAN ST 12,bishan,0.5
184 BISHAN ST 13,bishan,0.496
259 BISHAN ST 22,bright hill,1.103
203 BISHAN ST 23,bishan,0.418
220 BISHAN ST 23,bishan,0.742
225 BISHAN ST 23,bishan,0.857
192 BISHAN ST 13,bishan,0.408
447 BRIGHT HILL DR,upper thomson,0.437
312 SHUNFU RD,marymount,0.289
257 BISHAN ST 22,bishan,1.131
201 BISHAN ST 23,bishan,0.489
346 BT BATOK ST 34,bukit gombak,0.45
251 BT BATOK EAST AVE 5,bukit batok,0.907
224 BT BATOK ST 21,bukit batok,0.364
252 BT BATOK EAST AVE 5,bukit batok,0.868
144 BT BATOK WEST AVE 6,bukit batok,0.603
183 BT BATOK WEST AVE 8,bukit batok,0.751
306 BT BATOK ST 31,bukit gombak,0.476
328 BT BATOK ST 33,bukit gombak,0.668
511 BT BATOK ST 52,bukit batok,0.623
355 BT BATOK ST 31,bukit gombak,0.379
45 TELOK BLANGAH DR,telok blangah,0.119
101 BT PURMEI RD,harbourfront,0.818
77 TELOK BLANGAH DR,telok blangah,0.376
38 KIM PONG RD,tiong bahru,0.366
21 REDHILL CL,redhill,0.368
3 EVERTON PK,outram park,0.468
110 SPOTTISWOODE PK RD,outram park,0.915
249 BANGKIT RD,bangkit,0.191
112 PENDING RD,petir,0.249
441 FAJAR RD,fajar,0.15
120 PENDING RD,pending,0.226
225 PENDING RD,pending,0.157
226 PENDING RD,pending,0.159
124 PENDING RD,pending,0.08
133 CASHEW RD,pending,0.26
1 TG PAGAR PLAZA,tanjong pagar,0.304
264 WATERLOO ST,bencoolen,0.215
8 TG PAGAR PLAZA,tanjong pagar,0.322
262 WATERLOO ST,bencoolen,0.172
269B QUEEN ST,bugis,0.249
278 CHOA CHU KANG AVE 3,south view,0.204
416 CHOA CHU KANG AVE 4,choa chu kang,0.339
511 CHOA CHU KANG ST 51,choa chu kang,0.588
121 TECK WHYE LANE,keat hong,0.122
274 CHOA CHU KANG AVE 2,south view,0.288
527 CHOA CHU KANG ST 51,choa chu kang,0.797
427 CLEMENTI AVE 3,clementi,0.37
342 CLEMENTI AVE 5,clementi,0.631
10 HAIG RD,paya lebar,0.479
321 UBI AVE 1,ubi,0.633
21 BALAM RD,tai seng,0.466
352 UBI AVE 1,ubi,0.528
844 SIMS AVE,eunos,0.277
108 HOUGANG AVE 1,kovan,0.995
672 HOUGANG AVE 8,hougang,0.938
451 HOUGANG AVE 10,buangkok,0.546
442 HOUGANG AVE 8,buangkok,0.402
254 HOUGANG AVE 3,kovan,0.71
653 HOUGANG AVE 8,hougang,1.249
563 HOUGANG ST 51,buangkok,0.594
318 JURONG EAST ST 31,chinese garden,0.616
414 PANDAN GDNS,jurong east,1.554
260 JURONG EAST ST 24,chinese garden,0.861
305 JURONG EAST ST 32,chinese garden,0.452
405 PANDAN GDNS,jurong east,1.751
406 PANDAN GDNS,jurong east,1.771
113 TAO CHING RD,lakeside,1.288
506 JURONG WEST ST 52,lakeside,0.592
536 JURONG WEST ST 52,lakeside,0.784
421 JURONG WEST ST 42,lakeside,0.971
442 JURONG WEST AVE 1,lakeside,0.823
406 JURONG WEST ST 42,lakeside,1.13
550 JURONG WEST ST 42,lakeside,1.059
748 JURONG WEST ST 73,pioneer,1.133
354 KANG CHING RD,lakeside,0.567
355 KANG CHING RD,lakeside,0.632
360 YUNG AN RD,lakeside,0.94
533 JURONG WEST ST 52,lakeside,0.719
704 JURONG WEST ST 71,pioneer,0.429
841 JURONG WEST ST 81,pioneer,0.921
829 JURONG WEST ST 81,pioneer,0.906
334 KANG CHING RD,lakeside,0.582
362 YUNG AN RD,lakeside,0.91
802 FRENCH RD,lavender,0.279
806 KING GEORGE'S AVE,lavender,0.221
101 TOWNER RD,boon keng,0.055
69 MOULMEIN RD,novena,0.762
16 ST. GEORGE'S RD,boon keng,0.565
61 MARINE DR,eunos,1.955
470 PASIR RIS DR 6,pasir ris,0.927
446 PASIR RIS DR 6,pasir ris,0.969
254 PASIR RIS ST 21,tampines east,1.676
192 PASIR RIS ST 12,tampines east,1.221
564 PASIR RIS ST 51,pasir ris,0.51
214 PASIR RIS ST 21,pasir ris,1.461
532 PASIR RIS DR 1,pasir ris,0.255
648 PASIR RIS DR 10,pasir ris,1.342
456 PASIR RIS DR 4,pasir ris,1.069
130 PASIR RIS ST 11,tampines east,1.052
711 PASIR RIS ST 72,pasir ris,1.573
128 PASIR RIS ST 11,pasir ris,1.047
164 STIRLING RD,queenstown,0.52
109 C'WEALTH CRES,commonwealth,0.534
113 C'WEALTH CRES,commonwealth,0.473
97 C'WEALTH CRES,commonwealth,0.545
57 STIRLING RD,queenstown,0.268
55 STIRLING RD,queenstown,0.31
102 SERANGOON NTH AVE 1,kovan,1.949
426 SERANGOON AVE 1,serangoon,0.345
139 SERANGOON NTH AVE 2,kovan,1.438
407 SERANGOON AVE 1,serangoon,0.288
212 SERANGOON AVE 4,serangoon,0.791
517 SERANGOON NTH AVE 4,kovan,1.739
506B SERANGOON NTH AVE 4,kovan,1.711
423 SERANGOON CTRL,serangoon,0.262
417 SERANGOON CTRL,serangoon,0.167
526 SERANGOON NTH AVE 4,kovan,1.878
535 SERANGOON NTH AVE 4,kovan,1.953
539 SERANGOON NTH AVE 4,fernvale,1.937
101 TAMPINES ST 11,tampines,0.657
924 TAMPINES ST 91,tampines west,0.296
290 TAMPINES ST 22,tampines east,0.702
821 TAMPINES ST 81,tampines west,0.531
253 SIMEI ST 1,simei,0.176
254 SIMEI ST 1,simei,0.211
234 SIMEI ST 4,simei,0.232
244 SIMEI ST 5,simei,0.143
486C TAMPINES AVE 9,tampines east,0.42
162 TAMPINES ST 12,tampines,0.438
302 TAMPINES ST 32,tampines east,0.442
416 TAMPINES ST 41,tampines,0.698
450A TAMPINES ST 42,tampines east,0.358
897 TAMPINES ST 81,tampines west,0.501
868 TAMPINES ST 83,tampines west,1.143
498E TAMPINES ST 45,tampines east,0.767
498H TAMPINES ST 45,tampines east,0.818
498J TAMPINES ST 45,tampines east,0.823
139 SIMEI ST 1,simei,0.525
137 SIMEI ST 1,simei,0.586
163 SIMEI RD,upper changi,0.537
117 SIMEI ST 1,simei,0.276
255 SIMEI ST 1,simei,0.199
488A TAMPINES AVE 9,tampines east,0.486
490B TAMPINES ST 45,tampines east,0.705
862A TAMPINES ST 83,tampines,0.98
498D TAMPINES ST 45,tampines east,0.777
230E TAMPINES ST 24,tampines east,0.399
310 TAMPINES ST 32,tampines east,0.41
331 TAMPINES ST 32,tampines east,0.654
314 TAMPINES ST 33,tampines east,0.522
856B TAMPINES ST 82,tampines,0.828
229 SIMEI ST 4,simei,0.303
894 TAMPINES ST 81,tampines west,0.802
178 TOA PAYOH CTRL,toa payoh,0.223
4 UPP ALJUNIED LANE,mattar,0.875
175 LOR 2 TOA PAYOH,toa payoh,0.099
243 KIM KEAT LINK,toa payoh,1.038
84B LOR 2 TOA PAYOH,toa payoh,0.357
81A LOR 4 TOA PAYOH,toa payoh,0.442
81B LOR 4 TOA PAYOH,toa payoh,0.449
130 MARSILING RISE,marsiling,0.808
217 MARSILING CRES,woodlands north ,1.473
366 WOODLANDS AVE 5,woodlands ,0.265
703 WOODLANDS DR 40,admiralty,0.492
704 WOODLANDS DR 40,admiralty,0.529
707 WOODLANDS DR 40,admiralty,0.483
110 WOODLANDS ST 13,woodlands,0.507
321 WOODLANDS ST 32,marsiling,0.555
825 WOODLANDS ST 81,woodlands ,0.359
371 WOODLANDS AVE 1,woodlands ,0.441
894C WOODLANDS DR 50,woodlands ,0.269
891B WOODLANDS DR 50,woodlands ,0.355
136 MARSILING RD,marsiling,0.764
10 MARSILING DR,marsiling,0.989
308 WOODLANDS AVE 1,marsiling,0.409
359 WOODLANDS AVE 5,woodlands,0.378
322 YISHUN CTRL,yishun,0.653
811 YISHUN RING RD,khatib,0.136
261 YISHUN ST 22,yishun,0.765
267 YISHUN ST 22,yishun,0.969
666A YISHUN AVE 4,khatib,0.812
286 YISHUN AVE 6,canberra,1.06
874 YISHUN ST 81,khatib,0.41
658 YISHUN AVE 4,khatib,0.88
268 YISHUN ST 22,yishun,0.999
605 YISHUN ST 61,khatib,0.61
613 YISHUN ST 61,khatib,0.393
859 YISHUN AVE 4,khatib,0.701
109 YISHUN RING RD,yishun,0.799
238 YISHUN RING RD,yishun,0.619
608 YISHUN ST 61,khatib,0.452
359 YISHUN RING RD,yishun,1.21
351 YISHUN AVE 11,yishun,1.062
355 YISHUN RING RD,yishun,1.182
632 YISHUN ST 61,khatib,0.702
617 ANG MO KIO AVE 4,mayflower,0.693
627 ANG MO KIO AVE 9,yio chu kang,0.398
209 ANG MO KIO AVE 3,ang mo kio,0.706
563 ANG MO KIO AVE 3,ang mo kio,0.939
522 ANG MO KIO AVE 5,ang mo kio,0.443
613 ANG MO KIO AVE 4,yio chu kang,0.728
614 ANG MO KIO AVE 4,yio chu kang,0.764
105 BEDOK RESERVOIR RD,kaki bukit,0.652
158 BEDOK STH AVE 3,tanah merah,0.95
35 CHAI CHEE AVE,bedok,0.449
651 JLN TENAGA,kaki bukit,0.332
118 BEDOK RESERVOIR RD,kaki bukit,0.437
612 BEDOK RESERVOIR RD,bedok north,0.411
603 BEDOK RESERVOIR RD,kaki bukit,0.709
666 JLN DAMAI,kaki bukit,0.161
63 CHAI CHEE RD,bedok,0.977
671 JLN DAMAI,kaki bukit,0.284
104 BISHAN ST 12,bishan,0.574
506 BISHAN ST 11,bishan,0.217
256 BISHAN ST 22,bright hill,1.11
211 BISHAN ST 23,bishan,0.598
269 BISHAN ST 24,bishan,0.907
272 BISHAN ST 24,bishan,0.847
175 BISHAN ST 13,bishan,0.656
158 BISHAN ST 13,bishan,1.016
202 BISHAN ST 23,bishan,0.484
222 BISHAN ST 23,bishan,0.8
452 SIN MING AVE,upper thomson,0.58
168 BT BATOK WEST AVE 8,bukit batok,0.942
139 BT BATOK WEST AVE 6,bukit batok,0.643
181 BT BATOK WEST AVE 8,bukit batok,0.78
317 BT BATOK ST 32,bukit gombak,0.514
525 BT BATOK ST 52,bukit gombak,0.174
122 BT BATOK CTRL,bukit batok,0.443
403 BT BATOK WEST AVE 7,bukit gombak,1.058
526 BT BATOK ST 51,bukit gombak,0.175
14 TAMAN HO SWEE,havelock,0.168
78 INDUS RD,tiong bahru,0.578
161 BT MERAH CTRL,redhill,0.642
122 BT MERAH LANE 1,queenstown,0.924
7 EVERTON PK,outram park,0.485
4 JLN BT HO SWEE,havelock,0.287
47 MOH GUAN TER,tiong bahru,0.454
44 MOH GUAN TER,tiong bahru,0.443
8 REDHILL CL,redhill,0.503
124B BT MERAH VIEW,tiong bahru,0.492
117 BT MERAH CTRL,redhill,0.681
8 JLN RUMAH TINGGI,queenstown,0.694
45 LENGKOK BAHRU,redhill,0.559
149 PETIR RD,petir,0.114
119 PENDING RD,pending,0.251
401 FAJAR RD,petir,0.387
218 PETIR RD,pending,0.32
432 BT PANJANG RING RD,fajar,0.188
254 BANGKIT RD,bangkit,0.142
133A CASHEW RD,pending,0.192
335A SMITH ST,maxwell,0.21
661 BUFFALO RD,little india,0.055
335B SMITH ST,maxwell,0.209
632 VEERASAMY RD,jalan besar,0.133
251 CHOA CHU KANG AVE 2,south view,0.237
769 CHOA CHU KANG ST 54,yew tee,0.508
770 CHOA CHU KANG ST 54,yew tee,0.444
