address,nearest_mrt,nearest_distance_to_mrt
172 BEDOK STH RD,tanah merah,0.748
415 BEDOK NTH AVE 2,bedok,0.631
505 BEDOK NTH AVE 3,bedok reservoir,0.545
94E BEDOK NTH AVE 4,tanah merah,0.91
714 BEDOK RESERVOIR RD,bedok north,0.642
607 BEDOK RESERVOIR RD,kaki bukit,0.656
26 CHAI CHEE RD,bedok,0.711
51 CHAI CHEE ST,bedok north,0.805
53 CHAI CHEE ST,bedok north,0.733
645 JLN TENAGA,kaki bukit,0.424
649 JLN TENAGA,kaki bukit,0.389
137 BEDOK NTH AVE 3,bedok,0.817
120 BEDOK NTH ST 2,bedok reservoir,0.947
118 BEDOK NTH ST 2,bedok reservoir,0.901
72 BEDOK STH AVE 3,tanah merah,0.815
20 BEDOK STH RD,bedok,0.682
21 BEDOK STH RD,bedok,0.554
60 NEW UPP CHANGI RD,tanah merah,0.771
636 BEDOK RESERVOIR RD,ubi,0.586
638 BEDOK RESERVOIR RD,kaki bukit,0.595
640 BEDOK RESERVOIR RD,kaki bukit,0.503
642 BEDOK RESERVOIR RD,kaki bukit,0.52
10E BEDOK STH AVE 2,bedok,0.827
10B BEDOK STH AVE 2,bedok,0.712
10D BEDOK STH AVE 2,bedok,0.747
114 BEDOK RESERVOIR RD,kaki bukit,0.513
160 BEDOK STH AVE 3,tanah merah,0.891
104 LENGKONG TIGA,kembangan,0.619
23 SIN MING RD,upper thomson,0.325
313 SHUNFU RD,marymount,0.396
304 SHUNFU RD,marymount,0.228
150A BISHAN ST 11,braddell,1.093
115 BISHAN ST 12,bishan,0.332
110 BISHAN ST 12,bishan,0.381
193 BISHAN ST 13,bishan,0.397
406 SIN MING AVE,bright hill,0.139
123 BISHAN ST 12,bishan,0.548
253 BISHAN ST 22,ang mo kio,1.117
254 BISHAN ST 22,bright hill,1.134
249 BISHAN ST 22,ang mo kio,1.161
251 BISHAN ST 22,ang mo kio,1.074
234 BISHAN ST 22,bishan,0.868
235 BISHAN ST 22,bishan,0.88
236 BISHAN ST 22,bishan,0.917
285 BISHAN ST 22,bishan,1.01
213 BISHAN ST 23,bishan,0.705
215 BISHAN ST 23,bishan,0.7
229 BISHAN ST 23,bishan,0.787
266 BISHAN ST 24,bishan,1.037
270 BISHAN ST 24,bishan,0.948
278 BISHAN ST 24,bishan,0.893
446 BRIGHT HILL DR,upper thomson,0.39
451 SIN MING AVE,upper thomson,0.553
454 SIN MING AVE,bright hill,0.531
308 SHUNFU RD,marymount,0.272
149 BISHAN ST 11,braddell,1.062
122 BISHAN ST 12,bishan,0.525
130 BISHAN ST 12,bishan,0.634
126 BISHAN ST 12,bishan,0.67
191 BISHAN ST 13,bishan,0.36
195 BISHAN ST 13,bishan,0.412
407 SIN MING AVE,bright hill,0.148
124 BISHAN ST 12,bishan,0.597
168 BISHAN ST 13,bishan,0.775
183 BISHAN ST 13,bishan,0.483
190 BISHAN ST 13,bishan,0.435
166 BISHAN ST 13,bishan,0.817
153 BISHAN ST 13,bishan,0.935
155 BISHAN ST 13,bishan,1.004
221 BISHAN ST 23,bishan,0.786
223 BISHAN ST 23,bishan,0.846
310 SHUNFU RD,marymount,0.252
227 BISHAN ST 23,bishan,0.812
187 BISHAN ST 13,bishan,0.399
245 BISHAN ST 22,bishan,1.132
401 SIN MING AVE,bright hill,0.092
444 SIN MING AVE,upper thomson,0.463
148 BISHAN ST 11,braddell,0.979
534 BT BATOK ST 51,bukit gombak,0.338
504 BT BATOK ST 52,bukit batok,0.685
505 BT BATOK ST 52,bukit batok,0.558
506 BT BATOK ST 52,bukit batok,0.67
507 BT BATOK ST 52,bukit batok,0.605
160 BT BATOK ST 11,bukit batok,0.837
164 BT BATOK ST 11,bukit batok,0.763
162 BT BATOK ST 11,bukit batok,0.867
206 BT BATOK ST 21,bukit batok,0.263
208 BT BATOK ST 21,bukit batok,0.358
205 BT BATOK ST 21,bukit batok,0.214
341 BT BATOK ST 34,bukit gombak,0.551
539 BT BATOK ST 52,bukit gombak,0.439
411 BT BATOK WEST AVE 4,bukit gombak,0.887
414 BT BATOK WEST AVE 4,bukit gombak,0.85
416 BT BATOK WEST AVE 4,bukit gombak,0.825
177 BT BATOK WEST AVE 8,bukit batok,0.92
259 BT BATOK EAST AVE 4,bukit batok,1.151
265 BT BATOK EAST AVE 4,bukit batok,1.15
246 BT BATOK EAST AVE 5,bukit batok,0.898
235 BT BATOK EAST AVE 5,bukit batok,0.751
231 BT BATOK EAST AVE 5,bukit batok,0.55
212 BT BATOK ST 21,bukit batok,0.359
308 BT BATOK ST 31,bukit gombak,0.41
367 BT BATOK ST 31,bukit gombak,0.302
360 BT BATOK ST 31,bukit gombak,0.302
368 BT BATOK ST 31,bukit gombak,0.227
318 BT BATOK ST 32,bukit gombak,0.564
321 BT BATOK ST 33,bukit gombak,0.541
407 BT BATOK WEST AVE 4,bukit gombak,0.961
410 BT BATOK WEST AVE 4,bukit gombak,0.997
148 BT BATOK WEST AVE 6,bukit batok,0.635
146 BT BATOK WEST AVE 6,bukit batok,0.614
135 BT BATOK WEST AVE 6,bukit batok,0.585
179 BT BATOK WEST AVE 8,bukit batok,0.893
280 BT BATOK EAST AVE 3,bukit batok,0.844
283 BT BATOK EAST AVE 3,bukit batok,0.916
272 BT BATOK EAST AVE 4,bukit batok,0.927
374 BT BATOK ST 31,bukit gombak,0.136
324 BT BATOK ST 33,bukit gombak,0.608
342 BT BATOK ST 34,bukit gombak,0.568
413 BT BATOK WEST AVE 4,bukit gombak,0.798
106 BT BATOK CTRL,bukit batok,0.279
105 BT BATOK CTRL,bukit batok,0.273
266 BT BATOK EAST AVE 4,bukit batok,1.163
268 BT BATOK EAST AVE 4,bukit batok,1.07
161 BT BATOK ST 11,bukit batok,0.838
202 BT BATOK ST 21,bukit batok,0.298
210 BT BATOK ST 21,bukit batok,0.397
211 BT BATOK ST 21,bukit batok,0.349
340 BT BATOK ST 34,bukit gombak,0.562
345 BT BATOK ST 34,bukit gombak,0.483
337 BT BATOK ST 34,bukit gombak,0.604
540 BT BATOK ST 52,bukit gombak,0.471
112 BT BATOK WEST AVE 6,bukit batok,0.514
114 BT BATOK WEST AVE 6,bukit batok,0.395
108 BT BATOK WEST AVE 6,bukit batok,0.384
165 BT BATOK WEST AVE 8,bukit batok,0.865
172 BT BATOK WEST AVE 8,chinese garden,0.951
126 BT BATOK CTRL,bukit batok,0.451
238 BT BATOK EAST AVE 5,bukit batok,0.582
244 BT BATOK EAST AVE 5,bukit batok,0.853
232 BT BATOK EAST AVE 5,bukit batok,0.598
219 BT BATOK ST 21,bukit batok,0.637
305 BT BATOK ST 31,bukit gombak,0.437
364 BT BATOK ST 31,bukit gombak,0.357
363 BT BATOK ST 31,bukit gombak,0.373
316 BT BATOK ST 32,bukit gombak,0.593
322 BT BATOK ST 33,bukit gombak,0.565
138 BT BATOK WEST AVE 6,bukit batok,0.588
301 BT BATOK ST 31,bukit gombak,0.393
333 BT BATOK ST 32,bukit gombak,0.762
319 BT BATOK ST 33,bukit gombak,0.663
325 BT BATOK ST 33,bukit gombak,0.658
327 BT BATOK ST 33,bukit gombak,0.643
331 BT BATOK ST 33,bukit gombak,0.722
338 BT BATOK ST 34,bukit gombak,0.561
350 BT BATOK ST 34,bukit gombak,0.43
531 BT BATOK ST 51,bukit gombak,0.3
510 BT BATOK ST 52,bukit batok,0.716
419 BT BATOK WEST AVE 2,bukit gombak,0.724
426 BT BATOK WEST AVE 2,bukit gombak,0.839
642 BT BATOK CTRL,bukit batok,0.238
286 BT BATOK EAST AVE 3,bukit batok,1.019
254 BT BATOK EAST AVE 4,bukit batok,0.958
216 BT BATOK ST 21,bukit batok,0.501
171 BT BATOK WEST AVE 8,chinese garden,0.945
170 BT BATOK WEST AVE 8,chinese garden,0.956
214 BT BATOK ST 21,bukit batok,0.417
366 BT BATOK ST 31,bukit gombak,0.374
542 BT BATOK ST 52,bukit gombak,0.526
7 TELOK BLANGAH CRES,tiong bahru,1.243
28 HOY FATT RD,redhill,0.802
129 BT MERAH VIEW,tiong bahru,0.491
130 BT MERAH VIEW,tiong bahru,0.382
131 JLN BT MERAH,tiong bahru,0.663
2 JLN BT MERAH,queenstown,1.007
1 JLN BT MERAH,queenstown,0.935
130 KIM TIAN RD,tiong bahru,0.664
6 TELOK BLANGAH CRES,telok blangah,1.274
5 TELOK BLANGAH CRES,tiong bahru,1.228
45 CIRCUIT RD,mattar,0.319
8 TELOK BLANGAH CRES,tiong bahru,1.29
15 TELOK BLANGAH CRES,tiong bahru,1.25
